step_id,axis,cmd_to_deg,n_samples,s0_deg,sf_deg,rise_time_s,settle_time_s,overshoot_pct,tau_s
0,yaw,2.0,250,-1.7,1.4799999999999995,0.23994088172912598,2.500075101852417,16.35220125786165,0.2998161315917969
1,yaw,-2.0,250,-0.6,-2.4519999999999995,0.5200045108795166,2.500112533569336,2.5917926565875002,0.3199481964111328
2,yaw,10.0,250,-0.3,9.856000000000003,0.40007758140563965,1.8899664878845215,3.387160299330403,0.4798460006713867
3,yaw,-10.0,250,-0.9,-10.54,0.47008538246154785,1.8194730281829834,1.6597510373444,0.4595508575439453
4,yaw,30.0,250,-0.2,30.100000000000005,0.610004186630249,1.1299850940704346,0.9900990099009688,0.7798745632171631
5,yaw,-30.0,250,-1.4,-30.652,0.6200542449951172,1.1899516582489014,0.5059483112265817,0.7498035430908203
6,yaw,60.0,250,0.0,59.240000000000016,0.8499479293823242,1.4900414943695068,0.43889264010800766,1.0500590801239014
7,yaw,-60.0,250,-0.6,-62.815999999999995,0.8298914432525635,1.529879093170166,0.13501350135014015,1.0900092124938965
8,pitch,2.0,250,-0.0,2.0,0.30022120475769043,0.5900535583496094,0.0,0.27991819381713867
9,pitch,-2.0,250,-0.0,-1.9079999999999993,0.33010411262512207,2.3299810886383057,4.821802935010523,0.27992749214172363
10,pitch,10.0,250,-0.0,10.0,0.4499542713165283,0.8496935367584229,0.0,0.46971988677978516
11,pitch,-10.0,250,-0.0,-9.900000000000004,0.43993473052978516,0.8497390747070312,0.0,0.46973204612731934
12,pitch,30.0,250,-0.0,30.0,0.6299691200256348,1.1899385452270508,0.0,0.7699596881866455
13,pitch,60.0,250,-0.0,60.0,0.8500096797943115,1.5297152996063232,0.0,1.089709758758545
