step_id,axis,u_cmd,t_cmd_ros_s,t_end_ros_s,t_cmd_wall_s,s0_roll,s0_pitch,s0_yaw,railed
0,yaw,0.1,1776354592.6053574,1776354595.611087,1776354592.605412,0.0,-0.0,-102.8,0
1,yaw,-0.1,1776354600.0742376,1776354603.0753129,1776354600.0742922,0.0,-0.0,103.6,0
2,yaw,0.25,1776354607.53529,1776354610.5409298,1776354607.5353453,0.0,-0.0,-103.4,0
3,yaw,-0.25,1776354614.995418,1776354617.9957147,1776354614.9954722,0.0,-0.0,102.2,0
4,yaw,0.5,1776354622.4554665,1776354625.4557827,1776354622.455519,0.0,-0.0,-102.7,0
5,yaw,-0.5,1776354629.9154222,1776354632.9210465,1776354629.9154723,0.0,-0.0,101.7,0
6,yaw,0.75,1776354637.375153,1776354640.375488,1776354637.3752027,0.0,-0.0,-102.7,0
7,yaw,-0.75,1776354644.8444016,1776354647.8452876,1776354644.8444593,0.0,-0.0,101.3,0
8,yaw,1.0,1776354652.3142684,1776354655.3152888,1776354652.314323,0.0,-0.0,-100.8,0
9,yaw,-1.0,1776354659.7753015,1776354662.7757123,1776354659.7753515,0.0,-0.0,98.7,0
10,pitch,0.1,1776354667.2353914,1776354670.235687,1776354667.2354434,0.0,-17.9,0.2,0
11,pitch,-0.1,1776354674.6954515,1776354677.6957417,1776354674.6955004,0.0,30.0,-0.7,0
12,pitch,0.25,1776354682.164212,1776354685.165211,1776354682.1642644,0.0,-17.9,-0.7,0
13,pitch,-0.25,1776354689.6249473,1776354692.4143083,1776354689.6249986,0.0,30.0,-0.8,1
14,pitch,0.5,1776354696.8751924,1776354699.7743893,1776354696.8752413,0.0,-17.9,-0.7,1
15,pitch,-0.5,1776354704.2442713,1776354705.7144103,1776354704.2443264,0.0,30.0,-0.4,1
16,pitch,0.75,1776354710.17528,1776354712.1445513,1776354710.1753287,0.0,-18.0,-0.7,1
17,pitch,-0.75,1776354716.605025,1776354717.6243896,1776354716.6050742,0.0,30.0,-0.6,1
18,pitch,1.0,1776354722.085082,1776354723.6244311,1776354722.0851343,0.0,-17.9,-1.2,1
19,pitch,-1.0,1776354728.094292,1776354728.894559,1776354728.0943434,0.0,30.0,-0.6,1
